RM#,Location,Lot #,Product Name,Nature of Product,# of boxes,Packages / Box,Units / Package,Units,Total (un),Label grams,Total (g),Total (KG),THC %,Réservé Retail | Réservé Wholesale
115,D1,395,Sage N Sour,RND|Large Flower,,,,218,218,1.00,218.00,0.218,27.69%,
115,D1,399,Sage N Sour,RND,,,,207,207,1.00,206.70,0.207,29.68%,
115,D1,401,Sage N Sour,RND,,,,154,154,1.00,154.10,0.154,29.68%,
115,D1,SD0239,Sundae Driver,RND|Popcorn/Shake,,,,57,57,1.00,56.50,0.057,,
115,D1,208B,Mandarin,Popcorn/Shake,,,,3076,"3,076",1.00,"3,076.30",3.076,,Wholesale
115,D1,331B,Neville Haze,Popcorn/Shake,,,,2700,"2,700",1.00,"2,699.70",2.700,,Wholesale
115,D1,PNL-S03,Platinum Northen Lights,Popcorn/Shake,,,,531,531,1.00,531.10,0.531,,Wholesale
115,D1,203,Sage N Sour,Popcorn/Shake,,,,996,996,1.00,995.90,0.996,26.09%,Wholesale
115,D1,SD0239,Sundae Driver,Popcorn/Shake,,,,1867,"1,867",1.00,"1,866.80",1.867,,Wholesale
115,D1,291,Banana Daddy,QA|Large Flower,,,,2085,"2,085",1.00,"2,084.90",2.085,,Wholesale
115,D1,319,Blue Cheese,QA|Large Flower,,,,2643,"2,643",1.00,"2,643.10",2.643,,Wholesale
